id;pesid;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_principal;causa_acidente;ordem_tipo_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;id_veiculo;tipo_veiculo;marca;ano_fabricacao_veiculo;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;latitude;longitude;regional;delegacia;uop
619072;1385207.0;2024-08-04;domingo;18:00:00;BA;116.0;2.0;VITORIA DA CONQUISTA;Sim;Acessar a via sem observar a presença dos outros veículos;1;Colisão transversal;Com Vítimas Feridas;Anoitecer;Crescente;Céu Claro;Simples;Reta;Não;1109147.0;Automóvel;GM/ASTRA HB 4P ADVANTAGE;2007.0;Condutor;Lesões Leves;45.0;Masculino;0.0;1.0;0.0;0.0;-14.851;-40.8485;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
619072;1385205.0;2024-08-04;domingo;18:00:00;BA;116.0;2.0;VITORIA DA CONQUISTA;Sim;Acessar a via sem observar a presença dos outros veículos;1;Colisão transversal;Com Vítimas Feridas;Anoitecer;Crescente;Céu Claro;Simples;Reta;Não;1109145.0;Automóvel;HONDA/CIVIC LXS FLEX;2008.0;Condutor;Lesões Leves;17.0;Masculino;0.0;1.0;0.0;0.0;-14.851;-40.8485;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
652070;1466733.0;2024-12-29;domingo;17:40:00;BA;116.0;3.0;VITORIA DA CONQUISTA;Sim;Manobra de mudança de faixa;1;Colisão lateral mesmo sentido;Com Vítimas Feridas;Anoitecer;Decrescente;Céu Claro;Simples;"Reta;Aclive";Sim;1172382.0;Motocicleta;HONDA/CG 160 START;2017.0;Condutor;Lesões Leves;33.0;Masculino;0.0;1.0;0.0;0.0;-14.82508729;-40.86407661;SPRF-PE;DEL05-PE;UOP03-DEL05-PE
652070;;2024-12-29;domingo;17:40:00;BA;116.0;3.0;VITORIA DA CONQUISTA;Sim;Manobra de mudança de faixa;1;Colisão lateral mesmo sentido;Com Vítimas Feridas;Anoitecer;Decrescente;Céu Claro;Simples;"Reta;Aclive";Sim;1172380.0;Semireboque;SR/NOSTRA SRCF 2E;2023.0;;;;;;;;;-14.82508729;-40.86407661;SPRF-PE;DEL05-PE;UOP03-DEL05-PE
652070;1466732.0;2024-12-29;domingo;17:40:00;BA;116.0;3.0;VITORIA DA CONQUISTA;Sim;Manobra de mudança de faixa;1;Colisão lateral mesmo sentido;Com Vítimas Feridas;Anoitecer;Decrescente;Céu Claro;Simples;"Reta;Aclive";Sim;1172378.0;Caminhão-trator;M.BENZ/ACTROS 2045S;2023.0;Condutor;Ileso;32.0;Masculino;1.0;0.0;0.0;0.0;-14.82508729;-40.86407661;SPRF-PE;DEL05-PE;UOP03-DEL05-PE
652070;;2024-12-29;domingo;17:40:00;BA;116.0;3.0;VITORIA DA CONQUISTA;Sim;Manobra de mudança de faixa;1;Colisão lateral mesmo sentido;Com Vítimas Feridas;Anoitecer;Decrescente;Céu Claro;Simples;"Reta;Aclive";Sim;1172379.0;Semireboque;SR/NOSTRA SRCFQR 2E;2023.0;;;;;;;;;-14.82508729;-40.86407661;SPRF-PE;DEL05-PE;UOP03-DEL05-PE
652070;1466735.0;2024-12-29;domingo;17:40:00;BA;116.0;3.0;VITORIA DA CONQUISTA;Sim;Manobra de mudança de faixa;1;Colisão lateral mesmo sentido;Com Vítimas Feridas;Anoitecer;Decrescente;Céu Claro;Simples;"Reta;Aclive";Sim;1172382.0;Motocicleta;HONDA/CG 160 START;2017.0;Passageiro;Lesões Leves;31.0;Feminino;0.0;1.0;0.0;0.0;-14.82508729;-40.86407661;SPRF-PE;DEL05-PE;UOP03-DEL05-PE
620705;1389265.0;2024-08-12;segunda-feira;05:30:00;BA;116.0;4.0;VITORIA DA CONQUISTA;Sim;Objeto estático sobre o leito carroçável;1;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Decrescente;Nevoeiro/Neblina;Simples;Curva;Não;1112284.0;Motocicleta;HONDA/CG 150 TITAN EX;2012.0;Condutor;Lesões Leves;34.0;Masculino;0.0;1.0;0.0;0.0;-14.826286;-40.871479;SPRF-PE;DEL05-PE;UOP03-DEL05-PE
620705;1389265.0;2024-08-12;segunda-feira;05:30:00;BA;116.0;4.0;VITORIA DA CONQUISTA;Não;Neblina;1;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Decrescente;Nevoeiro/Neblina;Simples;Curva;Não;1112284.0;Motocicleta;HONDA/CG 150 TITAN EX;2012.0;Condutor;Lesões Leves;34.0;Masculino;0.0;1.0;0.0;0.0;-14.826286;-40.871479;SPRF-PE;DEL05-PE;UOP03-DEL05-PE
620705;1389267.0;2024-08-12;segunda-feira;05:30:00;BA;116.0;4.0;VITORIA DA CONQUISTA;Não;Neblina;1;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Decrescente;Nevoeiro/Neblina;Simples;Curva;Não;1112284.0;Motocicleta;HONDA/CG 150 TITAN EX;2012.0;Passageiro;Lesões Graves;35.0;Feminino;0.0;0.0;1.0;0.0;-14.826286;-40.871479;SPRF-PE;DEL05-PE;UOP03-DEL05-PE
620705;1389267.0;2024-08-12;segunda-feira;05:30:00;BA;116.0;4.0;VITORIA DA CONQUISTA;Sim;Objeto estático sobre o leito carroçável;1;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Decrescente;Nevoeiro/Neblina;Simples;Curva;Não;1112284.0;Motocicleta;HONDA/CG 150 TITAN EX;2012.0;Passageiro;Lesões Graves;35.0;Feminino;0.0;0.0;1.0;0.0;-14.826286;-40.871479;SPRF-PE;DEL05-PE;UOP03-DEL05-PE
580990;1292594.0;2024-02-13;terça-feira;19:40:00;BA;116.0;5.0;VITORIA DA CONQUISTA;Sim;Animais na Pista;1;Atropelamento de Animal;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Simples;"Reta;Declive";Não;1035572.0;Motocicleta;HONDA/CG 160 FAN;2023.0;Condutor;Lesões Leves;37.0;Masculino;0.0;1.0;0.0;0.0;-14.82556;-40.873963;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
580990;1292600.0;2024-02-13;terça-feira;19:40:00;BA;116.0;5.0;VITORIA DA CONQUISTA;Sim;Animais na Pista;1;Atropelamento de Animal;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Simples;"Reta;Declive";Não;1035572.0;Motocicleta;HONDA/CG 160 FAN;2023.0;Passageiro;Lesões Leves;26.0;Masculino;0.0;1.0;0.0;0.0;-14.82556;-40.873963;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
580990;1292594.0;2024-02-13;terça-feira;19:40:00;BA;116.0;5.0;VITORIA DA CONQUISTA;Sim;Animais na Pista;2;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Simples;"Reta;Declive";Não;1035572.0;Motocicleta;HONDA/CG 160 FAN;2023.0;Condutor;Lesões Leves;37.0;Masculino;0.0;1.0;0.0;0.0;-14.82556;-40.873963;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
580990;1292600.0;2024-02-13;terça-feira;19:40:00;BA;116.0;5.0;VITORIA DA CONQUISTA;Sim;Animais na Pista;2;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Simples;"Reta;Declive";Não;1035572.0;Motocicleta;HONDA/CG 160 FAN;2023.0;Passageiro;Lesões Leves;26.0;Masculino;0.0;1.0;0.0;0.0;-14.82556;-40.873963;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
618841;1384922.0;2024-08-03;sábado;18:30:00;BA;116.0;5.0;FEIRA DE SANTANA;Sim;Reação tardia ou ineficiente do condutor;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;"Reta;Declive";Sim;1108908.0;Automóvel;GM/CLASSIC LIFE;0.0;Condutor;Ileso;;Ignorado;1.0;0.0;0.0;0.0;-12.285515;-38.968438;SPRF-PE;DEL05-PE;UOP03-DEL05-PE
618841;1384923.0;2024-08-03;sábado;18:30:00;BA;116.0;5.0;FEIRA DE SANTANA;Sim;Reação tardia ou ineficiente do condutor;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;"Reta;Declive";Sim;1108918.0;Motocicleta;HONDA/CG 125 CARGO ESD;2014.0;Condutor;Lesões Graves;49.0;Masculino;0.0;0.0;1.0;0.0;-12.285515;-38.968438;SPRF-PE;DEL05-PE;UOP03-DEL05-PE
618841;1384925.0;2024-08-03;sábado;18:30:00;BA;116.0;5.0;FEIRA DE SANTANA;Sim;Reação tardia ou ineficiente do condutor;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;"Reta;Declive";Sim;1108919.0;Motocicleta;HONDA/CG 125 FAN ES;2013.0;Condutor;Lesões Graves;37.0;Masculino;0.0;0.0;1.0;0.0;-12.285515;-38.968438;SPRF-PE;DEL05-PE;UOP03-DEL05-PE
618411;;2024-08-02;sexta-feira;06:45:00;BA;116.0;7.0;VITORIA DA CONQUISTA;Sim;Pedestre cruzava a pista fora da faixa;1;Colisão traseira;Com Vítimas Feridas;Amanhecer;Crescente;Garoa/Chuvisco;Dupla;Rotatória;Sim;1109364.0;Reboque;SR/RANDON SRTQ IQ;2017.0;;;;;;;;;-14.851;-40.8485;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
645097;1450438.0;2024-11-29;sexta-feira;21:10:00;BA;116.0;7.0;VITORIA DA CONQUISTA;Não;Velocidade Incompatível;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;1160626.0;Caminhonete;FIAT/DUCATO MAXICARGO;2012.0;Passageiro;Ileso;;Masculino;1.0;0.0;0.0;0.0;-14.8392716;-40.8880801;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
645097;1450439.0;2024-11-29;sexta-feira;21:10:00;BA;116.0;7.0;VITORIA DA CONQUISTA;Sim;Condutor deixou de manter distância do veículo da frente;3;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;1160625.0;Caminhão;VOLVO/VM 260 6X2R;2009.0;Passageiro;Lesões Leves;19.0;Feminino;0.0;1.0;0.0;0.0;-14.8392716;-40.8880801;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
645097;1450438.0;2024-11-29;sexta-feira;21:10:00;BA;116.0;7.0;VITORIA DA CONQUISTA;Não;Velocidade Incompatível;3;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;1160626.0;Caminhonete;FIAT/DUCATO MAXICARGO;2012.0;Passageiro;Ileso;;Masculino;1.0;0.0;0.0;0.0;-14.8392716;-40.8880801;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
645097;1450436.0;2024-11-29;sexta-feira;21:10:00;BA;116.0;7.0;VITORIA DA CONQUISTA;Não;Velocidade Incompatível;3;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;1160626.0;Caminhonete;FIAT/DUCATO MAXICARGO;2012.0;Condutor;Ileso;38.0;Masculino;1.0;0.0;0.0;0.0;-14.8392716;-40.8880801;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
645097;1450439.0;2024-11-29;sexta-feira;21:10:00;BA;116.0;7.0;VITORIA DA CONQUISTA;Não;Velocidade Incompatível;3;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;1160625.0;Caminhão;VOLVO/VM 260 6X2R;2009.0;Passageiro;Lesões Leves;19.0;Feminino;0.0;1.0;0.0;0.0;-14.8392716;-40.8880801;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
645097;1450437.0;2024-11-29;sexta-feira;21:10:00;BA;116.0;7.0;VITORIA DA CONQUISTA;Não;Velocidade Incompatível;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;1160626.0;Caminhonete;FIAT/DUCATO MAXICARGO;2012.0;Passageiro;Ileso;51.0;Feminino;1.0;0.0;0.0;0.0;-14.8392716;-40.8880801;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
645097;1450437.0;2024-11-29;sexta-feira;21:10:00;BA;116.0;7.0;VITORIA DA CONQUISTA;Não;Velocidade Incompatível;3;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;1160626.0;Caminhonete;FIAT/DUCATO MAXICARGO;2012.0;Passageiro;Ileso;51.0;Feminino;1.0;0.0;0.0;0.0;-14.8392716;-40.8880801;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
645097;1450439.0;2024-11-29;sexta-feira;21:10:00;BA;116.0;7.0;VITORIA DA CONQUISTA;Não;Velocidade Incompatível;2;Colisão lateral sentido oposto;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;1160625.0;Caminhão;VOLVO/VM 260 6X2R;2009.0;Passageiro;Lesões Leves;19.0;Feminino;0.0;1.0;0.0;0.0;-14.8392716;-40.8880801;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
645097;;2024-11-29;sexta-feira;21:10:00;BA;116.0;7.0;VITORIA DA CONQUISTA;Não;Velocidade Incompatível;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;1160643.0;Semireboque;SR/RANDON SR CC;2005.0;;;;;;;;;-14.8392716;-40.8880801;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
645097;1450447.0;2024-11-29;sexta-feira;21:10:00;BA;116.0;7.0;VITORIA DA CONQUISTA;Não;Velocidade Incompatível;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;1160637.0;Caminhão-trator;SCANIA/R 420 A6X2;2008.0;Condutor;Ileso;62.0;Masculino;1.0;0.0;0.0;0.0;-14.8392716;-40.8880801;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
645097;1450436.0;2024-11-29;sexta-feira;21:10:00;BA;116.0;7.0;VITORIA DA CONQUISTA;Não;Velocidade Incompatível;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;1160626.0;Caminhonete;FIAT/DUCATO MAXICARGO;2012.0;Condutor;Ileso;38.0;Masculino;1.0;0.0;0.0;0.0;-14.8392716;-40.8880801;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
645097;;2024-11-29;sexta-feira;21:10:00;BA;116.0;7.0;VITORIA DA CONQUISTA;Não;Velocidade Incompatível;2;Colisão lateral sentido oposto;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;1160643.0;Semireboque;SR/RANDON SR CC;2005.0;;;;;;;;;-14.8392716;-40.8880801;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
645097;1450439.0;2024-11-29;sexta-feira;21:10:00;BA;116.0;7.0;VITORIA DA CONQUISTA;Não;Velocidade Incompatível;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;1160625.0;Caminhão;VOLVO/VM 260 6X2R;2009.0;Passageiro;Lesões Leves;19.0;Feminino;0.0;1.0;0.0;0.0;-14.8392716;-40.8880801;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
645097;1450437.0;2024-11-29;sexta-feira;21:10:00;BA;116.0;7.0;VITORIA DA CONQUISTA;Sim;Condutor deixou de manter distância do veículo da frente;2;Colisão lateral sentido oposto;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;1160626.0;Caminhonete;FIAT/DUCATO MAXICARGO;2012.0;Passageiro;Ileso;51.0;Feminino;1.0;0.0;0.0;0.0;-14.8392716;-40.8880801;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
645097;1450438.0;2024-11-29;sexta-feira;21:10:00;BA;116.0;7.0;VITORIA DA CONQUISTA;Não;Velocidade Incompatível;4;Tombamento;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;1160626.0;Caminhonete;FIAT/DUCATO MAXICARGO;2012.0;Passageiro;Ileso;;Masculino;1.0;0.0;0.0;0.0;-14.8392716;-40.8880801;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
645097;;2024-11-29;sexta-feira;21:10:00;BA;116.0;7.0;VITORIA DA CONQUISTA;Sim;Condutor deixou de manter distância do veículo da frente;4;Tombamento;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;1160643.0;Semireboque;SR/RANDON SR CC;2005.0;;;;;;;;;-14.8392716;-40.8880801;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
645097;1450447.0;2024-11-29;sexta-feira;21:10:00;BA;116.0;7.0;VITORIA DA CONQUISTA;Não;Velocidade Incompatível;4;Tombamento;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;1160637.0;Caminhão-trator;SCANIA/R 420 A6X2;2008.0;Condutor;Ileso;62.0;Masculino;1.0;0.0;0.0;0.0;-14.8392716;-40.8880801;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
645097;1450436.0;2024-11-29;sexta-feira;21:10:00;BA;116.0;7.0;VITORIA DA CONQUISTA;Sim;Condutor deixou de manter distância do veículo da frente;3;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;1160626.0;Caminhonete;FIAT/DUCATO MAXICARGO;2012.0;Condutor;Ileso;38.0;Masculino;1.0;0.0;0.0;0.0;-14.8392716;-40.8880801;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
645097;1450437.0;2024-11-29;sexta-feira;21:10:00;BA;116.0;7.0;VITORIA DA CONQUISTA;Sim;Condutor deixou de manter distância do veículo da frente;4;Tombamento;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;1160626.0;Caminhonete;FIAT/DUCATO MAXICARGO;2012.0;Passageiro;Ileso;51.0;Feminino;1.0;0.0;0.0;0.0;-14.8392716;-40.8880801;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
